2	2.00520
5	1.86500
8	1.85400
11	1.83908
14	1.74500
17	1.65900
20	1.57900
23	1.47210
26	1.43170
29	1.35220
32	1.34314
35	1.33111
38	1.30800
41	1.27700
44	1.21100
47	1.16800
50	1.12700
53	1.07400
56	1.05640
59	1.02170
62	0.966800
65	0.922100
68	0.917300
71	0.914908
74	0.905226
77	0.850300
80	0.872600
83	0.825800
86	0.836500
89	0.817000
92	0.812500
95	0.774800
98	0.738900
101	0.727100
104	0.725200
107	0.712700
110	0.697800
113	0.665626
116	0.653600
119	0.573900
122	0.568620
125	0.560987
128	0.459499
131	0.435551
134	0.430847
137	0.426361
140	0.419740
143	0.407371
146	0.382600
149	0.367500
152	2.18177
155	2.45030
